year/month,location,rainfall(mm)
12-Aug,184,601.9
12-Sep,184,499.1
12-Oct,184,35.7
12-Nov,184,90.6
12-Dec,184,131
13-Jan,184,20.5
13-Feb,184,60.5
13-Mar,184,55.2
13-Apr,184,94.5
13-May,184,59.7
13-Jun,184,160.5
13-Jul,184,14.7
13-Aug,184,74.2
13-Sep,184,82.1
13-Oct,184,113.3
13-Nov,184,82.1
13-Dec,184,41.8
14-Jan,184,50.2
14-Feb,184,137.5
14-Mar,184,88.4
14-Apr,184,52.3
14-May,184,86.7
14-Jun,184,65.4
14-Jul,184,288.7
14-Aug,184,460.3
14-Sep,184,93.5
14-Oct,184,92.9
14-Nov,184,100.3
14-Dec,184,47.2
15-Jan,184,82.4
15-Feb,184,35.5
15-Mar,184,80.7
15-Apr,184,147.9
15-May,184,150
15-Jun,184,186.4
15-Jul,184,329.7
15-Aug,184,248.6
15-Sep,184,172.9
15-Oct,184,31
15-Nov,184,173.2
15-Dec,184,90
16-Jan,184,125.6
16-Feb,184,40
16-Mar,184,96.9
16-Apr,184,121.4
16-May,184,113
16-Jun,184,162.7
16-Jul,184,98.6
16-Aug,184,75.6
16-Sep,184,172.3
16-Oct,184,282.4
16-Nov,184,71.3
16-Dec,184,56.6
17-Jan,184,50.7
17-Feb,184,39.1
17-Mar,184,48.2
17-Apr,184,51.4
17-May,184,38.5
17-Jun,184,60.7
17-Jul,184,35.2
17-Aug,184,159.5
17-Sep,184,83.4
17-Oct,184,162
17-Nov,184,19.2
17-Dec,184,25.4
18-Jan,184,58
18-Feb,184,86.6
18-Mar,184,118
18-Apr,184,112.5
18-May,184,98.8
18-Jun,184,211.1
18-Jul,184,48.7
18-Aug,184,376.5
18-Sep,184,187.7
18-Oct,184,347
18-Nov,184,28.6
18-Dec,184,96
19-Jan,184,24.2
19-Feb,184,37.9
19-Mar,184,55.5
19-Apr,184,46.4
19-May,184,42.8
19-Jun,184,145.8
19-Jul,184,510.1
19-Aug,184,242.3
19-Sep,184,610.6
19-Oct,184,188.6
19-Nov,184,27.5
19-Dec,184,48.2
20-Jan,184,116.7
20-Feb,184,29.8
